[    2992ms] [LOG] [LandingPage] Observer created for: repo-reference placeholder id: section-repo-reference @ http://localhost:3104/src/components/landing/LandingPage.jsx:153
[    2992ms] [LOG] [LandingPage] Observer created for: repo-vfx placeholder id: section-repo-vfx @ http://localhost:3104/src/components/landing/LandingPage.jsx:153
[    2992ms] [LOG] [LandingPage] Observer created for: repo-fashion placeholder id: section-repo-fashion @ http://localhost:3104/src/components/landing/LandingPage.jsx:153
[    2992ms] [LOG] [LandingPage] Observer created for: repos placeholder id: section-repos @ http://localhost:3104/src/components/landing/LandingPage.jsx:153
[    2993ms] [LOG] [LandingPage] Observer created for: gtm-boost placeholder id: section-gtm-boost @ http://localhost:3104/src/components/landing/LandingPage.jsx:153
[    2997ms] [LOG] [App] Landing page rendered @ http://localhost:3104/src/main.js:88
[    3107ms] [LOG] [LandingPage] IntersectionObserver fired for agency [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3108ms] [LOG] [LandingPage] Loading section: agency @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3109ms] [LOG] [LandingPage] IntersectionObserver fired for comparison [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3109ms] [LOG] [LandingPage] Loading section: comparison @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3109ms] [LOG] [LandingPage] IntersectionObserver fired for repo-fashion [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3109ms] [LOG] [LandingPage] Loading section: repo-fashion @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3109ms] [LOG] [LandingPage] IntersectionObserver fired for repo-cinema [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3110ms] [LOG] [LandingPage] Loading section: repo-cinema @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3110ms] [LOG] [LandingPage] IntersectionObserver fired for repo-social-ads [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3110ms] [LOG] [LandingPage] Loading section: repo-social-ads @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3110ms] [LOG] [LandingPage] IntersectionObserver fired for workflow [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3110ms] [LOG] [LandingPage] Loading section: workflow @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3111ms] [LOG] [LandingPage] IntersectionObserver fired for repo-ecommerce [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3111ms] [LOG] [LandingPage] Loading section: repo-ecommerce @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3111ms] [LOG] [LandingPage] IntersectionObserver fired for repos [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3111ms] [LOG] [LandingPage] Loading section: repos @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3111ms] [LOG] [LandingPage] IntersectionObserver fired for ai-workflow [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3111ms] [LOG] [LandingPage] Loading section: ai-workflow @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3114ms] [LOG] [LandingPage] IntersectionObserver fired for engines [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3114ms] [LOG] [LandingPage] Loading section: engines @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3114ms] [LOG] [LandingPage] IntersectionObserver fired for academy [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3114ms] [LOG] [LandingPage] Loading section: academy @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3114ms] [LOG] [LandingPage] IntersectionObserver fired for repo-vertical [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
[    3115ms] [LOG] [LandingPage] Loading section: repo-vertical @ http://localhost:3104/src/components/landing/LandingPage.jsx:121
[    3115ms] [LOG] [LandingPage] IntersectionObserver fired for repo-animation [Object] @ http://localhost:3104/src/components/landing/LandingPage.jsx:118
